#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
gun_4_x4_france,,102,gun_4_x4,france,,didox_gun_cal133_x4,0.87,1.04,2.46,,didox_gun_cal133_x4,0.8865,1.056,2.48,,didox_gun_cal133_x4,0.9,1.0725,2.5,,rich_gun_cal130_x4,1.23,1.3,2.52,,rich_gun_cal130_x4,1.24,1.32,2.54,,,,,,,,,,,
gun_5_x4_france,,127,gun_5_x4,france,,didox_gun_cal133_x4,1.07,1.23,1.36,,didox_gun_cal133_x4,1.0835,1.25,1.38,,didox_gun_cal133_x4,1.1,1.2675,1.22,,rich_gun_cal130_x4,1.33,1.39,1.5,,rich_gun_cal130_x4,1.35,1.41,1.52,,,,,,,,,,,
gun_6_x4_france,,152,gun_6_x4,france,,didox_gun_cal133_x4,1.26,1.32,1.26,,didox_gun_cal133_x4,1.28,1.345,1.22,,didox_gun_cal133_x4,1.3,1.365,1.22,,rich_gun_cal130_x4,1.43,1.56,1.4,,rich_gun_cal130_x4,1.45,1.56,1.42,,,,,,,,,,,
gun_7_x4_france,,178,gun_7_x4,france,,didox_gun_cal133_x4,1.36,1.42,1.18,,didox_gun_cal133_x4,1.379,1.44,1.2,,didox_gun_cal133_x4,1.4,1.4625,1.22,,rich_gun_cal130_x4,1.6,1.7,1.3,,rich_gun_cal130_x4,1.62,1.72,1.33,,,,,,,,,,,
gun_8_x4_france,,203,gun_8_x4,france,,didox_gun_cal133_x4,1.455,1.51,1.18,,didox_gun_cal133_x4,1.4775,1.537,1.2,,didox_gun_cal133_x4,1.5,1.56,1.22,,rich_gun_cal130_x4,1.75,1.85,1.3,,rich_gun_cal130_x4,1.77,1.87,1.33,,,,,,,,,,,
gun_9_x4_france,,229,gun_9_x4,france,,dido_gun_cal200_x4,0.93,0.98,1.2,,dido_gun_cal200_x4,0.9555,1.008,1.22,,dido_gun_cal200_x4,0.98,1.0335,1.24,,richelieu_gun_380_x4,0.72,0.75,1.3,,richelieu_gun_380_x4,0.73,0.76,1.32,,,,,,,,,,,
gun_10_x4_france,,254,gun_10_x4,france,,dido_gun_cal200_x4,1.01,1.056,1.2,,dido_gun_cal200_x4,1.0335,1.084,1.22,,dido_gun_cal200_x4,1.06,1.1115,1.24,,richelieu_gun_380_x4,0.77,0.8,1.3,,richelieu_gun_380_x4,0.78,0.81,1.32,,,,,,,,,,,
gun_11_x4_france,,279,gun_11_x4,france,,dido_gun_cal200_x4,1.08,1.13,1.2,,dido_gun_cal200_x4,1.11,1.16,1.22,,dido_gun_cal200_x4,1.14,1.1895,1.24,,richelieu_gun_380_x4,0.82,0.85,1.3,,richelieu_gun_380_x4,0.83,0.86,1.32,,,,,,,,,,,
gun_12_x4_france,,305,gun_12_x4,france,,dido_gun_cal200_x4,1.16,1.206,1.2,,dido_gun_cal200_x4,1.19,1.236,1.22,,dido_gun_cal200_x4,1.22,1.2675,1.24,,richelieu_gun_380_x4,0.87,0.9,1.3,,richelieu_gun_380_x4,0.88,0.91,1.32,,,,,,,,,,,
gun_13_x4_france,,330,gun_13_x4,france,,dido_gun_cal200_x4,1.236,1.3,1.2,,dido_gun_cal200_x4,1.27,1.33,1.22,,dido_gun_cal200_x4,1.3,1.365,1.24,,richelieu_gun_380_x4,0.92,0.95,1.3,,richelieu_gun_380_x4,0.93,0.96,1.32,,,,,,,,,,,
gun_14_x4_france,,356,gun_14_x4,france,,dido_gun_cal200_x4,1.33,1.39,1.2,,dido_gun_cal200_x4,1.365,1.426,1.22,,dido_gun_cal200_x4,1.4,1.4625,1.24,,richelieu_gun_380_x4,0.97,1,1.3,,richelieu_gun_380_x4,0.99,1.01,1.32,,,,,,,,,,,
gun_15_x4_france,,381,gun_15_x4,france,,dido_gun_cal200_x4,1.426,1.48,1.2,,dido_gun_cal200_x4,1.46,1.521,1.22,,dido_gun_cal200_x4,1.5,1.56,1.24,,richelieu_gun_380_x4,1.025,1.06,1.3,,richelieu_gun_380_x4,1.04,1.07,1.32,,,,,,,,,,,
gun_16_x4_france,,406,gun_16_x4,france,,dido_gun_cal200_x4,1.521,1.57,1.2,,dido_gun_cal200_x4,1.56,1.616,1.22,,dido_gun_cal200_x4,1.6,1.6575,1.24,,richelieu_gun_380_x4,1.09,1.12,1.3,,richelieu_gun_380_x4,1.1,1.13,1.32,,,,,,,,,,,
gun_17_x4_france,,432,gun_17_x4,france,,dido_gun_cal200_x4,1.62,1.67,1.2,,dido_gun_cal200_x4,1.66,1.71,1.22,,dido_gun_cal200_x4,1.7,1.755,1.24,,richelieu_gun_380_x4,1.148,1.2,1.3,,richelieu_gun_380_x4,1.16,1.21,1.32,,,,,,,,,,,
gun_18_x4_france,,457,gun_18_x4,france,,dido_gun_cal200_x4,1.71,1.76,1.2,,dido_gun_cal200_x4,1.755,1.81,1.22,,dido_gun_cal200_x4,1.8,1.8525,1.24,,richelieu_gun_380_x4,1.23,1.26,1.3,,richelieu_gun_380_x4,1.25,1.28,1.32,,,,,,,,,,,
gun_19_x4_france,,483,gun_19_x4,france,,dido_gun_cal200_x4,1.81,1.85,1.2,,dido_gun_cal200_x4,1.8525,1.9,1.22,,dido_gun_cal200_x4,1.9,1.95,1.24,,richelieu_gun_380_x4,1.29,1.32,1.3,,richelieu_gun_380_x4,1.31,1.33,1.32,,,,,,,,,,,
gun_20_x4_france,,508,gun_20_x4,france,,dido_gun_cal200_x4,1.9,1.95,1.2,,dido_gun_cal200_x4,1.95,2,1.22,,dido_gun_cal200_x4,2,2.0475,1.24,,richelieu_gun_380_x4,1.35,1.4,1.3,,richelieu_gun_380_x4,1.37,1.41,1.32,,,,,,,,,,,
###,,,###,,,SMALL GUNS FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_2_x1_france_bb,bc,ca,cl",,51,gun_2_x1,france,"bb,bc,ca,cl",bouvet_gun_100_x1,0.86,0.91,4,,,,,,,,,,,,richelieu_gun_100_x1,1.2,1.32,1.14,,richelieu_gun_100_x1,1.215,1.33,1.16,,,,,,,,,,,
"gun_2_x2_france_bb,bc,ca,cl",,51,gun_2_x2,france,"bb,bc,ca,cl",,,,,,,,,,,,,,,,richelieu_gun_100_x2,1.2,1.32,1.14,,richelieu_gun_100_x2,1.215,1.33,1.16,,,,,,,,,,,
"gun_2_x3_france_bb,bc,ca,cl",,51,gun_2_x3,france,"bb,bc,ca,cl",,,,,,,,,,,,,,,,richelieu_gun_100_x3,1.2,1.32,1.14,,richelieu_gun_100_x3,1.215,1.33,1.16,,,,,,,,,,,
"gun_3_x1_france_bb,bc,ca,cl",,76,gun_3_x1,france,"bb,bc,ca,cl",bouvet_gun_100_x1,0.93,0.975,4,,,,,,,,,,,,richelieu_gun_100_x1,1.35,1.46,1.14,,richelieu_gun_100_x1,1.37,1.48,1.16,,,,,,,,,,,
"gun_3_x2_france_bb,bc,ca,cl",,76,gun_3_x2,france,"bb,bc,ca,cl",,,,,,,,,,,,,,,,richelieu_gun_100_x2,1.35,1.46,1.14,,richelieu_gun_100_x2,1.37,1.48,1.16,,,,,,,,,,,
"gun_3_x3_france_bb,bc,ca,cl",,76,gun_3_x3,france,"bb,bc,ca,cl",,,,,,,,,,,,,,,,richelieu_gun_100_x3,1.35,1.46,1.14,,richelieu_gun_100_x3,1.37,1.48,1.16,,,,,,,,,,,
"gun_4_x1_france_bb,bc,ca,cl, dd",,102,gun_4_x1,france,"bb,bc,ca,cl, dd",bouvet_gun_100_x1,1,1.043,4,,,,,,,,,,,,rich_gun_cal130_x1,1.23,1.3,2.6,,rich_gun_cal130_x1,1.24,1.31,2.62,,,,,,,,,,,
"gun_4_x2_france_bb,bc,ca,cl, dd",,102,gun_4_x2,france,"bb,bc,ca,cl, dd",,,,,,,,,,,,,,,,rich_gun_cal130_x2,1.23,1.3,2.6,,rich_gun_cal130_x2,1.24,1.31,2.62,,,,,,,,,,,
"gun_4_x3_france_bb,bc,ca,cl, dd",,102,gun_4_x3,france,"bb,bc,ca,cl, dd",,,,,,,,,,,,,,,,rich_gun_cal130_x3,1.23,1.3,2.6,,rich_gun_cal130_x3,1.24,1.31,2.62,,,,,,,,,,,
"gun_5_x1_france_cl, dd",,127,gun_5_x1,france,"cl, dd",bouvet_gun_100_x1,1.07,0.946,1.5,,,,,,,,,,,,richelieu_gun_152_x1,0.85,0.9,1.53,,richelieu_gun_152_x1,0.86,0.91,1.55,,,,,,,,,,,
"gun_5_x2_france_cl, dd",,127,gun_5_x2,france,"cl, dd",,,,,,,,,,,,,,,,richelieu_gun_152_x2,0.85,0.9,1.53,,richelieu_gun_152_x2,0.86,0.91,1.55,,,,,,,,,,,
"gun_5_x3_france_cl, dd",,127,gun_5_x3,france,"cl, dd",,,,,,,,,,,,,,,,richelieu_gun_152_x3,0.85,0.9,1.53,,richelieu_gun_152_x3,0.86,0.91,1.55,,,,,,,,,,,
"gun_5_x1_france_bb,bc,ca",,127,gun_5_x1,france,"bb,bc,ca",massena_gun_138_x1,0.97,1.043,1.5,,,,,,,,,,,,richelieu_gun_152_x1,0.85,0.9,1.53,,richelieu_gun_152_x1,0.86,0.91,1.55,,,,,,,,,,,
"gun_5_x2_france_bb,bc,ca",,127,gun_5_x2,france,"bb,bc,ca",massena_gun_138_x2,0.97,1.043,1.5,,,,,,,,,,,,richelieu_gun_152_x2,0.85,0.9,1.53,,richelieu_gun_152_x2,0.86,0.91,1.55,,,,,,,,,,,
"gun_5_x3_france_bb,bc,ca",,127,gun_5_x3,france,"bb,bc,ca",,,,,,,,,,,,,,,,richelieu_gun_152_x3,0.85,0.9,1.53,,richelieu_gun_152_x3,0.86,0.91,1.55,,,,,,,,,,,
"gun_6_x1_france_bb,bc,ca,cl, dd",,152,gun_6_x1,france,"bb,bc,ca,cl, dd",bouvet_gun_138_x1,1.07,1.141,1.22,,dant_gun_245_x1,0.8,0.83,1.1,0.85,dant_gun_245_x1,0.816,0.85,1.1,0.85,richelieu_gun_152_x1,0.92,0.975,1.53,,richelieu_gun_152_x1,0.93,0.99,1.55,,,,,,,,,,,
"gun_6_x2_france_bb,bc,ca,cl, dd",,152,gun_6_x2,france,"bb,bc,ca,cl, dd",bouvet_gun_138_x2,1.07,1.141,1.22,,dant_gun_245_x2,0.8,0.83,1.1,0.85,dant_gun_245_x2,0.816,0.85,1.1,0.85,richelieu_gun_152_x2,0.92,0.975,1.53,,richelieu_gun_152_x2,0.93,0.99,1.55,,,,,,,,,,,
"gun_6_x3_france_bb,bc,ca,cl, dd",,152,gun_6_x3,france,"bb,bc,ca,cl, dd",,,,,,dant_gun_245_x3,0.8,0.83,1.1,0.85,dant_gun_245_x3,0.816,0.85,1.1,0.85,richelieu_gun_152_x3,0.92,0.975,1.53,,richelieu_gun_152_x3,0.93,0.99,1.55,,,,,,,,,,,
"gun_7_x1_france_bb,bc,ca,cl, dd",,178,gun_7_x1,france,"bb,bc,ca,cl, dd",bouvet_gun_138_x1,1.17,1.24,1.22,,dant_gun_245_x1,0.85,0.897,1.1,0.85,dant_gun_245_x1,0.867,0.91,1.1,0.85,richelieu_gun_152_x1,1,1.07,1.53,,richelieu_gun_152_x1,1.01,1.09,1.55,,,,,,,,,,,
"gun_7_x2_france_bb,bc,ca,cl, dd",,178,gun_7_x2,france,"bb,bc,ca,cl, dd",bouvet_gun_138_x2,1.17,1.24,1.22,,dant_gun_245_x2,0.85,0.897,1.1,0.85,dant_gun_245_x2,0.867,0.91,1.1,0.85,richelieu_gun_152_x2,1,1.07,1.53,,richelieu_gun_152_x2,1.01,1.09,1.55,,,,,,,,,,,
"gun_7_x3_france_bb,bc,ca,cl, dd",,178,gun_7_x3,france,"bb,bc,ca,cl, dd",,,,,,dant_gun_245_x3,0.85,0.897,1.1,0.85,dant_gun_245_x3,0.867,0.91,1.1,0.85,richelieu_gun_152_x3,1,1.07,1.53,,richelieu_gun_152_x3,1.01,1.09,1.55,,,,,,,,,,,
"gun_8_x1_france_bb,bc,ca,cl, dd",,203,gun_8_x1,france,"bb,bc,ca,cl, dd",bouvet_gun_138_x1,1.27,1.35,1.22,,dant_gun_245_x1,0.92,0.96,1.1,0.85,dant_gun_245_x1,0.9384,0.95,1.1,0.85,richelieu_gun_152_x1,1.1,1.18,1.53,,richelieu_gun_152_x1,1.11,1.19,1.55,,,,,,,,,,,
"gun_8_x2_france_bb,bc,ca,cl, dd",,203,gun_8_x2,france,"bb,bc,ca,cl, dd",bouvet_gun_138_x2,1.27,1.35,1.22,,dant_gun_245_x2,0.92,0.96,1.1,0.85,dant_gun_245_x2,0.9384,0.97,1.1,0.85,richelieu_gun_152_x2,1.1,1.18,1.53,,richelieu_gun_152_x2,1.11,1.19,1.55,,,,,,,,,,,
"gun_8_x3_france_bb,bc,ca,cl, dd",,203,gun_8_x3,france,"bb,bc,ca,cl, dd",,,,,,dant_gun_245_x3,0.92,0.96,1.1,0.85,dant_gun_245_x3,0.9384,0.97,1.1,0.85,richelieu_gun_152_x3,1.1,1.18,1.53,,richelieu_gun_152_x3,1.11,1.19,1.55,,,,,,,,,,,
###,,,###,,,BIG GUNS FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_9_x1_france,,229,gun_9_x1,france,,bouvet_gun_305_x1,0.84,0.89,1.28,0.85,dant_gun_245_x1,0.98,1.024,1.1,0.85,dant_gun_245_x1,1,1.05,1.1,0.85,richelieu_gun_380_x1,0.7,0.73,1.27,,richelieu_gun_380_x1,0.71,0.74,1.29,,,,,,,,,,,
gun_9_x2_france,,229,gun_9_x2,france,,bouvet_gun_305_x2,0.84,0.89,1.28,0.85,dant_gun_245_x2,0.98,1.024,1.1,0.85,dant_gun_245_x2,1,1.05,1.1,0.85,richelieu_gun_380_x2,0.7,0.73,1.27,,richelieu_gun_380_x2,0.71,0.74,1.29,,,,,,,,,,,
gun_9_x3_france,,229,gun_9_x3,france,,,,,,,dant_gun_245_x3,0.98,1.024,1.1,0.85,dant_gun_245_x3,1,1.05,1.1,0.85,richelieu_gun_380_x3,0.7,0.73,1.27,,richelieu_gun_380_x3,0.71,0.74,1.29,,,,,,,,,,,
gun_10_x1_france,,254,gun_10_x1,france,,dante_gun_240_x1,0.8,0.85,1.29,0.85,dant_gun_245_x1,1.05,1.097,1.1,0.85,dant_gun_245_x1,1.07,1.12,1.1,0.85,richelieu_gun_380_x1,0.75,0.78,1.27,,richelieu_gun_380_x1,0.76,0.79,1.29,,,,,,,,,,,
gun_10_x2_france,,254,gun_10_x2,france,,dante_gun_240_x2,0.8,0.85,1.29,0.85,dant_gun_245_x2,1.05,1.097,1.1,0.85,dant_gun_245_x2,1.07,1.12,1.1,0.85,richelieu_gun_380_x2,0.75,0.78,1.27,,richelieu_gun_380_x2,0.76,0.79,1.29,,,,,,,,,,,
gun_10_x3_france,,254,gun_10_x3,france,,,,,,,dant_gun_245_x3,1.05,1.097,1.1,0.85,dant_gun_245_x3,1.07,1.12,1.1,0.85,richelieu_gun_380_x3,0.75,0.78,1.27,,richelieu_gun_380_x3,0.76,0.79,1.29,,,,,,,,,,,
gun_11_x1_france,,279,gun_11_x1,france,,dante_gun_305_x1,0.75,0.795,1.34,0.85,dant_gun_245_x1,1.125,1.17,1.1,0.85,dant_gun_245_x1,1.15,1.19,1.1,0.85,richelieu_gun_380_x1,0.8,0.83,1.27,,richelieu_gun_380_x1,0.81,0.84,1.29,,,,,,,,,,,
gun_11_x2_france,,279,gun_11_x2,france,,dante_gun_305_x2,0.75,0.795,1.34,0.85,dant_gun_245_x2,1.125,1.17,1.1,0.85,dant_gun_245_x2,1.15,1.19,1.1,0.85,richelieu_gun_380_x2,0.8,0.83,1.27,,richelieu_gun_380_x2,0.81,0.84,1.29,,,,,,,,,,,
gun_11_x3_france,,279,gun_11_x3,france,,,,,,,dant_gun_245_x3,1.125,1.17,1.1,0.85,dant_gun_245_x3,1.15,1.19,1.1,0.85,richelieu_gun_380_x3,0.8,0.83,1.27,,richelieu_gun_380_x3,0.81,0.84,1.29,,,,,,,,,,,
gun_12_x1_france,,305,gun_12_x1,france,,dante_gun_305_x1,0.825,0.875,1.34,0.85,dant_gun_245_x1,1.2,1.243,1.1,0.85,dant_gun_245_x1,1.224,1.27,1.1,0.85,richelieu_gun_380_x1,0.85,0.88,1.27,,richelieu_gun_380_x1,0.86,0.89,1.29,,,,,,,,,,,
gun_12_x2_france,,305,gun_12_x2,france,,dante_gun_305_x2,0.825,0.875,1.34,0.85,dant_gun_245_x2,1.2,1.243,1.1,0.85,dant_gun_245_x2,1.224,1.27,1.1,0.85,richelieu_gun_380_x2,0.85,0.88,1.27,,richelieu_gun_380_x2,0.86,0.89,1.29,,,,,,,,,,,
gun_12_x3_france,,305,gun_12_x3,france,,,,,,,dant_gun_245_x3,1.2,1.243,1.1,0.85,dant_gun_245_x3,1.224,1.27,1.1,0.85,richelieu_gun_380_x3,0.85,0.88,1.27,,richelieu_gun_380_x3,0.86,0.89,1.29,,,,,,,,,,,
gun_13_x1_france,,330,gun_13_x1,france,,dante_gun_305_x1,0.9,0.95,1.34,0.85,dant_gun_245_x1,1.275,1.316,1.1,0.85,dant_gun_245_x1,1.3,1.34,1.1,0.85,richelieu_gun_380_x1,0.9,0.93,1.27,,richelieu_gun_380_x1,0.91,0.94,1.29,,,,,,,,,,,
gun_13_x2_france,,330,gun_13_x2,france,,dante_gun_305_x2,0.9,0.95,1.34,0.85,dant_gun_245_x2,1.275,1.316,1.1,0.85,dant_gun_245_x2,1.3,1.34,1.1,0.85,richelieu_gun_380_x2,0.9,0.93,1.27,,richelieu_gun_380_x2,0.91,0.94,1.29,,,,,,,,,,,
gun_13_x3_france,,330,gun_13_x3,france,,,,,,,dant_gun_245_x3,1.275,1.316,1.1,0.85,dant_gun_245_x3,1.3,1.34,1.1,0.85,richelieu_gun_380_x3,0.9,0.93,1.27,,richelieu_gun_380_x3,0.91,0.94,1.29,,,,,,,,,,,
gun_14_x1_france,,356,gun_14_x1,france,,dant_gun_245_x1,1.323,1.36,1.1,0.85,dant_gun_245_x1,1.35,1.39,1.1,0.85,dant_gun_245_x1,1.38,1.42,1.1,0.85,richelieu_gun_380_x1,0.95,0.975,1.27,,richelieu_gun_380_x1,0.96,0.99,1.29,,,,,,,,,,,
gun_14_x2_france,,356,gun_14_x2,france,,dant_gun_245_x2,1.323,1.36,1.1,0.85,dant_gun_245_x2,1.35,1.39,1.1,0.85,dant_gun_245_x2,1.38,1.42,1.1,0.85,richelieu_gun_380_x2,0.95,0.975,1.27,,richelieu_gun_380_x2,0.96,0.99,1.29,,,,,,,,,,,
gun_14_x3_france,,356,gun_14_x3,france,,dant_gun_245_x3,1.323,1.36,1.1,0.85,dant_gun_245_x3,1.35,1.39,1.1,0.85,dant_gun_245_x3,1.38,1.42,1.1,0.85,richelieu_gun_380_x3,0.95,0.975,1.27,,richelieu_gun_380_x3,0.96,0.99,1.29,,,,,,,,,,,
gun_15_x1_france,,381,gun_15_x1,france,,dant_gun_245_x1,1.4,1.43,1.1,0.85,dant_gun_245_x1,1.425,1.462,1.1,0.85,dant_gun_245_x1,1.45,1.49,1.1,0.85,richelieu_gun_380_x1,1,1.03,1.27,,richelieu_gun_380_x1,1.01,1.05,1.29,,,,,,,,,,,
gun_15_x2_france,,381,gun_15_x2,france,,dant_gun_245_x2,1.4,1.43,1.1,0.85,dant_gun_245_x2,1.425,1.462,1.1,0.85,dant_gun_245_x2,1.45,1.49,1.1,0.85,richelieu_gun_380_x2,1,1.03,1.27,,richelieu_gun_380_x2,1.01,1.05,1.29,,,,,,,,,,,
gun_15_x3_france,,381,gun_15_x3,france,,dant_gun_245_x3,1.4,1.43,1.1,0.85,dant_gun_245_x3,1.425,1.462,1.1,0.85,dant_gun_245_x3,1.45,1.49,1.1,0.85,richelieu_gun_380_x3,1,1.03,1.27,,richelieu_gun_380_x3,1.01,1.05,1.29,,,,,,,,,,,
gun_16_x1_france,,406,gun_16_x1,france,,dant_gun_245_x1,1.47,1.51,1.1,0.85,dant_gun_245_x1,1.5,1.54,1.1,0.85,richelieu_gun_380_x1,1.04,1.075,1.25,,richelieu_gun_380_x1,1.06,1.09,1.27,,richelieu_gun_380_x1,1.07,1.1,1.29,,,,,,,,,,,
gun_16_x2_france,,406,gun_16_x2,france,,dant_gun_245_x2,1.47,1.51,1.1,0.85,dant_gun_245_x2,1.5,1.54,1.1,0.85,richelieu_gun_380_x2,1.04,1.075,1.25,,richelieu_gun_380_x2,1.06,1.09,1.27,,richelieu_gun_380_x2,1.07,1.1,1.29,,,,,,,,,,,
gun_16_x3_france,,406,gun_16_x3,france,,dant_gun_245_x3,1.47,1.51,1.1,0.85,dant_gun_245_x3,1.5,1.54,1.1,0.85,richelieu_gun_380_x3,1.04,1.075,1.25,,richelieu_gun_380_x3,1.06,1.09,1.27,,richelieu_gun_380_x3,1.07,1.1,1.29,,,,,,,,,,,
gun_17_x1_france,,432,gun_17_x1,france,,dido_gun_cal200_x1,1.616,1.67,1.2,,dido_gun_cal200_x1,1.656,1.71,1.22,,richelieu_gun_380_x1,1.1,1.15,1.25,,richelieu_gun_380_x1,1.12,1.17,1.27,,richelieu_gun_380_x1,1.13,1.18,1.29,,,,,,,,,,,
gun_17_x2_france,,432,gun_17_x2,france,,dido_gun_cal200_x2,1.616,1.67,1.2,,dido_gun_cal200_x2,1.656,1.71,1.22,,richelieu_gun_380_x2,1.1,1.15,1.25,,richelieu_gun_380_x2,1.12,1.17,1.27,,richelieu_gun_380_x2,1.13,1.18,1.29,,,,,,,,,,,
gun_17_x3_france,,432,gun_17_x3,france,,dido_gun_cal200_x3,1.616,1.67,1.2,,dido_gun_cal200_x3,1.656,1.71,1.22,,richelieu_gun_380_x3,1.1,1.15,1.25,,richelieu_gun_380_x3,1.12,1.17,1.27,,richelieu_gun_380_x3,1.13,1.18,1.29,,,,,,,,,,,
gun_18_x1_france,,457,gun_18_x1,france,,dido_gun_cal200_x1,1.71,1.76,1.2,,dido_gun_cal200_x1,1.754,1.805,1.22,,richelieu_gun_380_x1,1.18,1.21,1.25,,richelieu_gun_380_x1,1.2,1.23,1.27,,richelieu_gun_380_x1,1.215,1.24,1.29,,,,,,,,,,,
gun_18_x2_france,,457,gun_18_x2,france,,dido_gun_cal200_x2,1.71,1.76,1.2,,dido_gun_cal200_x2,1.754,1.805,1.22,,richelieu_gun_380_x2,1.18,1.21,1.25,,richelieu_gun_380_x2,1.2,1.23,1.27,,richelieu_gun_380_x2,1.215,1.24,1.29,,,,,,,,,,,
gun_18_x3_france,,457,gun_18_x3,france,,dido_gun_cal200_x3,1.71,1.76,1.2,,dido_gun_cal200_x3,1.754,1.805,1.22,,richelieu_gun_380_x3,1.18,1.21,1.25,,richelieu_gun_380_x3,1.2,1.23,1.27,,richelieu_gun_380_x3,1.215,1.24,1.29,,,,,,,,,,,
gun_19_x1_france,,483,gun_19_x1,france,,dido_gun_cal200_x1,1.81,1.854,1.2,,dido_gun_cal200_x1,1.85,1.9,1.22,,richelieu_gun_380_x1,1.24,1.27,1.25,,richelieu_gun_380_x1,1.26,1.28,1.27,,richelieu_gun_380_x1,1.275,1.3,1.29,,,,,,,,,,,
gun_19_x2_france,,483,gun_19_x2,france,,dido_gun_cal200_x2,1.81,1.854,1.2,,dido_gun_cal200_x2,1.85,1.9,1.22,,richelieu_gun_380_x2,1.24,1.27,1.25,,richelieu_gun_380_x2,1.26,1.28,1.27,,richelieu_gun_380_x2,1.275,1.3,1.29,,,,,,,,,,,
gun_19_x3_france,,483,gun_19_x3,france,,dido_gun_cal200_x3,1.81,1.854,1.2,,dido_gun_cal200_x3,1.85,1.9,1.22,,richelieu_gun_380_x3,1.24,1.27,1.25,,richelieu_gun_380_x3,1.26,1.28,1.27,,richelieu_gun_380_x3,1.275,1.3,1.29,,,,,,,,,,,
gun_20_x1_france,,508,gun_20_x1,france,,dido_gun_cal200_x1,1.9,1.95,1.2,,dido_gun_cal200_x1,1.95,2,1.22,,richelieu_gun_380_x1,1.3,1.39,1.27,,richelieu_gun_380_x1,1.32,1.4,1.29,,richelieu_gun_380_x1,1.33,1.42,1.29,,,,,,,,,,,
gun_20_x2_france,,508,gun_20_x2,france,,dido_gun_cal200_x2,1.9,1.95,1.2,,dido_gun_cal200_x2,1.95,2,1.22,,richelieu_gun_380_x2,1.3,1.39,1.27,,richelieu_gun_380_x2,1.32,1.4,1.29,,richelieu_gun_380_x2,1.33,1.42,1.29,,,,,,,,,,,
gun_20_x3_france,,508,gun_20_x3,france,,dido_gun_cal200_x3,1.9,1.95,1.2,,dido_gun_cal200_x3,1.95,2,1.22,,richelieu_gun_380_x3,1.3,1.39,1.27,,richelieu_gun_380_x3,1.32,1.4,1.29,,richelieu_gun_380_x3,1.33,1.42,1.29,,,,,,,,,,,
###,,,###,,,SMALL GUNS RUSSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_2_x1_russia_bb,bc,ca,cl",,51,gun_2_x1,russia,"bb,bc,ca,cl",brandenburg_gun_76_x1,0.8,0.975,0.7,,,,,,,dreadnought_gun_178_x1,0.75,0.78,4.1,,ussr_gun_50_x1,0.93,1,2.15,,ussr_gun_50_x1,0.95,1.01,2.17,,,,,,,,,,,
"gun_2_x2_russia_bb,bc,ca,cl",,51,gun_2_x2,russia,"bb,bc,ca,cl",dreadnought_gun_178_x2,0.7,0.73125,4,,dreadnought_gun_178_x2,0.725,0.756,4.05,,dreadnought_gun_178_x2,0.75,0.78,4.1,,ussr_gun_50_x2,0.93,1,2.15,,ussr_gun_50_x2,0.95,1.01,2.17,,,,,,,,,,,
"gun_2_x3_russia_bb,bc,ca,cl",,51,gun_2_x3,russia,"bb,bc,ca,cl",dreadnought_gun_178_x3,0.7,0.73125,4,,dreadnought_gun_178_x3,0.725,0.756,4.05,,dreadnought_gun_178_x3,0.75,0.78,4.1,,ussr_gun_50_x3,0.93,1,2.15,,ussr_gun_50_x3,0.95,1.01,2.17,,,,,,,,,,,
"gun_2_x4_russia_bb,bc,ca,cl",,51,gun_2_x4,russia,"bb,bc,ca,cl",ussr_gun_50_x4,0.9,0.975,1.22,,ussr_gun_50_x4,0.91,0.987,1.24,,ussr_gun_50_x4,0.92,1,1.26,,ussr_gun_50_x4,0.93,1,2.15,,ussr_gun_50_x4,0.95,1.01,2.17,,,,,,,,,,,
"gun_3_x1_russia_bb,bc,ca,cl",,76,gun_3_x1,russia,"bb,bc,ca,cl",brandenburg_gun_76_x1,1,1.17,0.7,,,,,,,dreadnought_gun_178_x1,0.8,0.90,4.1,,ussr_gun_50_x1,1.03,1.14,2.15,,ussr_gun_50_x1,1.04,1.15,2.17,,,,,,,,,,,
"gun_3_x2_russia_bb,bc,ca,cl",,76,gun_3_x2,russia,"bb,bc,ca,cl",dreadnought_gun_178_x2,0.75,0.853125,4,,dreadnought_gun_178_x2,0.775,0.8775,4.05,,dreadnought_gun_178_x2,0.8,0.90,4.1,,ussr_gun_50_x2,1.03,1.14,2.15,,ussr_gun_50_x2,1.04,1.15,2.17,,,,,,,,,,,
